angjdin	(见aidin) 脚掌\n
angjfwngz	掌心，手心\n
angjmaenh	逞能\n
angq	[方]faengz；maengx；haengjheiq 快乐，高兴；欢喜；兴奋\n(见bat) 瓦盆\n(见meng) 陶瓷器的碎片\n
angqbuepbuep	[方] 欢天喜地[指小孩]\n
angqfwngfwng	[方] 兴高采烈\n
angqguengj	(见batloiz) 大瓦盆\n
angqmakgam	(见batceij) 瓦盆之一种[大如中型脸盆]\n
angqmyok	(见batva) 花盆\n
angqnaengz	(见hixnacngz) 索性\n
angqriu	欢笑\n
angqsaem	(见yiedsim) 热心\n
angqsauznaj	(见batnaj) 脸盆\n
angqvauvau	[方] 喜洋洋\n
angqyangz	[方] 欢乐\n
ap	(见laengz) ①扣留；扣押 ②阻拦\n(见dep) 靠近；接近；临近\n(见cab) 闸\n
apbik	[方]daemhcaij，hangz ①压迫 ②强迫\n
apdah	[与dajcaemx同] 游泳\n
at	[方]dong 积压\n扶住\n抵押\n(见rex) 扶\n
atcat	(见dungxraeng) 消化不良，腹胀\n
au	[方]cuz；cuk 叔父\n(见augux) 姑丈[父妹之夫]\n
aubiuj	[方]biujau；cukbiuj；bohbiuj；biujcuz 表叔\n
augux	[方]bohgo；guqcangz；au；guhcang；ceh；guqdij 姑丈[父妹之夫]\n[方]aumeh；bohau；bohgo；bohniengq；guqau；gujdij；guqcongz 姑丈[泛称]\n
aumeh	(见augux) 姑丈[泛指]\n
auj	(见guh) 编(歌)，作(诗歌)\n
aux	[方]coz 唆使；嗾使；指使 ～ma haeuj nyaengq 嗾使狗进草丛[比喻唆使人干坏事]\n
auq	[方]eux ①教牛学犁 ～ vaiz dawz cae 教牛犁田 ②初学；试学 Gienh saeh neix gou～yawj guh ndaej baenz lwi．这件事我试试看做得不做得。\n[方]eux 校(秤)\n(见guh) 编(歌)；作(诗歌)\n(见ndauq) 淫荡\n(见ndauq) (动物)发情\n
auqbek	(见sawqbek) 打靶\n
auqgen	(见beggen) 比臂力\n
auqmanz	勉强，硬撑\n
aw	(见anj) 怔；愣\n
-awq	快……吧[放在动词后，并以该动词的声母作为声母，专作动词的后辅成分，表示催促] gwngawq 快吃吧\n
awq	(见maxlax) 轻浮，作风不正派[指女人]\n(见gyoivenj) 摇篮[小孩睡具]
ba	吧［表示怀疑语气词］\n（见fw）鳖\n（见niu）黏\n
baduet	（见fa'ngumh）锅盖［用竹篾编成］\n
bahek	（见farek）锅盖\n
banoeknoek	［方］缠手缠脚\n
baz	（见yah）妻子；老婆\n（见boh）父亲\n扒［一般用工具扒］\n到处寻找\n
bazdangq	耥耙［齿密而长］\n
bazhwnz	（见moengh;fangzhwnz;loq）梦\n
bazlwtbazlw	［方］①心不在焉，思想不集中②三心两意\n
baj	姨母［母之姐］\n［方］muq;mux 舅母［母兄之妻］\n姑母［父之姐］\n［方］muq;mux 伯娘\n①把守②阻拦；阻止\n把［放在个、十、百、千……等或量词后面表示约数，如十把里路；个把人］：miz bak ～ vunz有百把人\n靶；靶子\n（见benq）（）朵（云）\n（见fwj）云\n（见gep）（）块（板）\n
bajaek	（见bajbingq）把握\n
bajbingq	［方］bajaek 把握\n
bajboengq	（见ronghndwen）月亮\n
bajbwz	（见bajdak）乒乓球拍\n
bajdak	［方］bajbwz;giuzdak 乒乓球拍\n
bajfwngz	（见fajfwngz）手——似应为“手掌”［honghlaj］\n
bajgvan	把关［严格检查，防止差错］\n
bajheiq	①杂技 ②把戏 saj～耍把戏\n
bajlaih	（见dajlaih）撒赖——似应为“耍赖”［honghlaj］\n
bajliuz	［方］simjsauj;beixnangzaluz 妯娌\n
bajmungz	（见fajfwngz） 手\n
bajmwz	（见fajfwngz） 手\n
bajsoengq	（见yahsoengq） 伴娘；旧时送亲的女人\n
bajsouj	把守；扼守\n
bax	（见longz）披（衣服）\n（见fangq） （）大块\n［方］①蠢笨 ②笨重\n
baxbenz	［方］陡［倾斜度较小］\n
baxlet	（见maxlaz）轻浮；作风不正派［指女人］\n
baxletlet	（见ndwet）妖冶；风流；轻浮［指女人］\n
baq	［方］开（土槽）［如犁很多土槽，将种子撒下］\n（见boh）父亲\n土坡\n（见buq）①剖；解剖 ②破开\n
baqciemq	霸占\n
baqciengx	（见bohciengx）养父；义父\n
bah	（见hengzdiuz）桁条\n
bahlinz	［方］十分；非常\n
bad	（见longz）披（衣服）\n（见raemj）砍\n（见veq）（太阳）西斜\n（与banq同）搭［如把毛巾搭在肩上］\n（见banz）陡［斜度小］\n（见baez） （）次；（）遍；（）趟\n塞（水）［一般用杂草、树叶把水堵住］\n
badfwngz	（见rizfwngz）掌纹\n
badmbaq	（见bamqmbaq）搭肩\n
bae	语气词［表示祈使、愿望、请求、命令等］ Aeu guh ndei ～。一定要做好。Ndaem liux ～ cij ndaej baema。种完以后才能回去。\n抹［把和好了的泥或灰涂上后再抹平］ ～ ciengz 抹墙。（如粤语“批灰”的“批”－［honghlaj］）\n去；赴\n①批改 ②批判 ③批示\n（见daz）搪\n（见cam）簪子；头簪\n
baebae dauqdauq	来来往往；川流不息\n
baebae mama	重重复复；反反复复 ～ cungj gangj coenz vah neix。重重复复老是讲这句话。\n
baecinj	（见bihcunj） 批准\n
baedangq	抹［把和好的泥或灰涂上后再用抹子弄平］（粤语“批趟”－［honghlaj］）\n
baedauq	［与hwnjroengz同］往来\n［方］gwnjnoengz 上下；左右［表示约数］ gouj diemj cung ～九点钟左右\n（见baenzbaenz） 反正；总之\n
baefinz	［方］diuzbuenz;ni （女人）出走\n
baegau	［方］表示不相信数量有那么多\n
baehaq	出嫁；结婚［指女子］\n［方］薯类或芋头因收藏不好而发芽\n
baelae	［方］唷［表示怀疑或幸灾乐祸的叹词］\n
baelaw	岂［表示反问］ ～miz yiengh dauhleix neix。岂有此理。\n
baelo	表示惋惜（书中错为“婉惜”－［honghlaj］）的感叹词\n
baeluengq	（见cuengqbyaij）大便［雅称］\n
baema	［方］mwz;dauqbae 回去\n
baenaj	①往前（走） byaij ～ 往前走 ②以后；往后 baezneix ～从今以后\n
bae'ngwtngwt	［方］扬长而去\n
baevah	批语\n
baez	［方］bienq;banj;bad;loen 次；遍；趟；回\n（见cug） 逐（）；逐（渐）\n疮；疖子\n
baezaen	逐个；逐一\n
baezbaez	每次；次次\n
baezbaeu	生在关节上的一种疮\n
baezcij	［方］baeznauq;baezneuq 奶疮\n
baezcueng	痃［生在大腿上，大如鸡蛋］\n
baezding	疔疮\n
baezgoemh	毒疮名［生在头上］\n
baezgonq	前次\n
baezgyaeujngwz	［方］cezdouz 蛇头疮［生在指头上］\n
baezhaj	一种疮［多生在小腹上］\n
baezhaem	疽\n
baezhangx	痔疮\n
baezlaeng	以后；下次\n
baezlitmboeng	（见nyanmboeng）疥疮名［颗粒较大，有脓］\n
baezmboq	毒疮名［一般生在头上，很大，有的甚至长满头，口子很多，经常出脓，容易复发］\n
baezmyaeg	一瞥\n
baeznaengz	通常\n［方］aenbaez;siengzbaez;bienqnaengz 平常；日常；平时；往常；以往\n
baeznauq	（见baezcij）奶疮\n
baezndip	疖子［形似冻疮，表皮厚而硬，过很久才出脓］\n
baezneix	［方］gaulaeng 今后；从今以后 （这次？－［honghlaj］）\n
baezngoenz	（见ciengzngoenz） 往常；往日；往时\n
baeznou	［方］hoznou 颈部淋巴腺结核［俗称老鼠疮］\n
baezrwzlingz	一种疮［长在耳垂］\n
baezyamq	（见cugyamq）逐步\n
baex	（见raemh）背光；遮挡；遮光\n［方］yaz 挡；遮住 Mwngz gaej ～ gou。你不要挡我。\n
baexrumz	（见boihrumz） 背风\n
baeq	［方］dangj 遮住；挡\n（见baenzlawz）怎样；如何；哪样；怎么；若何\n
baeh	［方］gvat ①篦子 ②篦\n［方］bongz;gangjbeg;gangjbog;gangjgoz;gangjyamj;gangjbex;gangjvang;gangjyiemq;bwngz;gangjim 讽刺；讥讽；指桑骂槐\n
baeb	（见mbwnj） （刀或锄口）捲\n［方］折叠\n
baed	佛\n［与ham同］神位；神堂\n［方］saenz 神\n（见ci） 吹［风吹］\n（见conx） （水）冲\n （见bi） 摆；摆动；甩动\n
baedgen	［方］走路时手摆动\n
baednangnang	［方］悬挂物来回摆动\n
baeg	［方］ngaeb;heiqcuenj 气喘\n累；疲乏；疲劳；疲倦\n（见diemcaw） 喘气；呼大气\n
baegfofo	［方］气喘吁吁\n
baegmou	［方］累得上气不接下气\n
baek	北\n［方］goen 煲\n插 ～geiz 插旗\n（见daeuh） 灰；火灰；草木灰\n（见fangq） （）大块\n（见fuk） （）堵\n（见mbaw） （）面（旗）\n（见cim） 针灸［中医用特制的金属针按一定的穴位刺入体内，医治疾病］\n
baekbak	（见baekbawq） 乱插；马虎、随便地插；赶快地插\n
baekbawq	［方］baekbak 马虎、随便地插；乱插；赶快地插\n
baekbi'gyoij	（见fandingqdaeuj） 翻筋斗\n
baekcijceuq	（见fandingqdaeuj） 翻筋斗\n
baekcungq	（见faekcungq） 枪套；枪壳［指驳壳枪套］\n
baekgigsing	北极星\n
baekmax	（见capmax） 摆马威［俗称扎马］\n
baemz	（见ngad） 擦［如牛倚物擦痒］\n
baemj	［方］memj;mez;boemx 俯伏；埋伏\n
baen	［方］faen 分［动词］ ～baenz geij faenh？分成几份？\n
baenboiq	分配\n
baencang	分赃\n
baencek	［方］分赃\n
baen'gya	［方］linghranz;faenranz;cei'gya;okgag 分家\n
baenhoengz	分红\n
baenraen	（见moengh）梦\n
baenyinz	均分；分匀\n
baenz	成；成功；完成\n茂盛；丰富；好 Bineix haeux ～ raixcaix。今年禾苗长得很好。\n磨（刀）\n［与daengx同］［方］lwnh 全；整；成；一（阵） ～ngoenz 整天 ～gyoengq 成群 ～cien～fanh 成千成万 fwn doek ～ raq ～ raq 雨一阵一阵地下 ～buek 成批\n［方］giengh 这样；如此 ～lai 这样多\n［方］bwnj 生（病、疮）\n（见cug） 逐（）；逐（渐）\n（农作物）成熟\n成为\n（见giet） 结（瓜、果） Go makbug ～ mak lo。柚子树结果了。\n（见ngad） 擦\n
baenzaen	整个\n
baenzbaenz	［方］baedauq；maihlaez;liengh 反正；总之 ～ gou mbouj lau mwngz。反正我不怕你。\n无论如何；怎么样 ～ son de cungj mbouj rox。怎么样教他都不懂。\n
baenzbi	终年；一年到头；整年；成年\n
baenzboengj	形容动、植物或其它东西很多\n
baenzboix	成倍\n
baenzbongz	（见foegfouz） 浮肿 Faj naj de ～。他的脸浮肿。\n
baenzbw	生在小腹内部的一种毒疮\n
baenzbyoz	成堆；成批；很多\n
baenzcaiz	成材\n
baenzcaiq	（见binghnaiq）慢性病\n
baenzcengx	（见fatnit） 疟疾\n
baenzciuh	［与baenzseiq同］ 一世（人）；一辈子；一代（人）；毕生\n
baenzdauq	成套；配套\n
baenzdong	成堆；成批；很多\n
baenzfoeg	无名肿毒\n
baenzgai	成交\n
baenzgamz	（见cugyamq） 逐步\n
baenzgoeng	［方］成功\n
baenzgong	成堆；成批；很多\n
baenzgya	成家；结婚；成婚；成亲\n
baenzgyoengq	成群\n
baenzhaemh	通宵达旦；从天黑到天亮\n
baenzhaet	整个上午\n
baenzhaeuz	（见baenzngoz） 白喉［病名］\n
baenzhwnz	［方］daengxhwnz;lwnhhwnz;lwnhgwnz 整夜；一夜；通宵达旦；从天黑到天亮\n
baenzlaenz	（见vazmuengz） 急忙\n（见muengz） 急急忙忙\n（见lienzmuengz） 连忙；赶快\n
baenzlai	这么多\n
baenzlaux	有生以来 Gou ～ baez daih'it ndaej raen hojceh。我有生以来第一次看见火车。\n
baenzlawz	［方］yienghlawz;hauhlawz;yaeuq;yienghyuq;baenzyiengh;baeq;daengjlawz;yawz;yienghswz 怎样；如何；哪样；怎么；若何\n
baenzlawz baenzde	［方］miqlwnhbinzswz;yizyawz 无论如何；任由 ～mwngz cungj aeu bae。无论如何你都得去。\n
baenzlenggvaq	（见banringzgvaq） 下午\n
baenzliq	（见okdungx） 拉肚子；肚泻；腹泻\n
baenzliuh	成材\n
baenzmaz	（见dangqmaz） 很；非常；无比\n
baenzmbaeq	（见fatbag） 发疯；发癫\n
baenzmbauq	①（少年男子）清秀；英俊 ②成年［指男孩长成青年］\n
baenzmbongh	形容动、植物或其它东西很多\n
baenzmiz	（见fouq） 富；富裕；富饶\n
baenzmoengj	形容动、植物或其它东西很多\n
baenzmwq	（见haebgyawh） 哮喘；气喘\n
baenzndai	［方］manzdangz 怀私胎\n
baenzndang	浑身；全身\n
baenzndwen	整月；全个月\n
baenzneix	［与yienghneix同］ 这样 Mbouj ndaej ～ guh。不能这样做。\n那么［表示性质、状态、方式、程度］\n
baenzngoz	［方］ngozhaeuz;baenzhaeuz;danhaeuz 白喉［病名］\n
baenzngoenz	整天；一天到晚\n
baenznyaenx	（见yienghneix）这样\n
baenzranz	［与baenzgya同］结婚；成家立业\n
baenzsau	①（少女）清秀 （漂亮－［honghlaj］）②成年［指女的］\n
baenzseiq	［与baenzciuh同］ 毕生；一辈子；一生\n
baenzvunz	①成人［成器、成材的意思］ ②成年［指年满十八岁］\n
baenzyamq	（见cugyamq） 逐步\n
baenzyauq	整整一段时间\n
baenzyawj	中看\n
baenzyiengh	（见baenzlawz） 怎样；如何；哪样；怎么；若何\n象样\n
baenj	［方］noeg 塑\n（见mbaenq） 搓（麻线）\n（见sat） 搓线或细绳 ～caghaiz 搓鞋绳\n（见gauq） 告状；起诉\n（见cungj）种；种类\n（见coengzlaiz） 从来；向来；素来\n
baenjgyaeuh	（见yienzbonj） 原本\n
baenjsangq	（见mbwnbiengj） 霁［雨后天晴］\n
baenx	（见mauh） 超（过）；越（过）\n
baenxgvaq	（见mauhgvaq） 超过；冒过\n
baenq	扭转；纠正\n转；转动；旋转\n［方］cae;sat 绕（纱） ～lwt 绕纱\n（见luzmwnz） 圆形指纹\n（见hoh） （）节［自然形成］\n
baenqbangh	［方］旋转；团团转\n（见lienh） 徘徊\n
baenqbeq	（见cienqlienh） 徘徊\n（见cuenhvangvang） 盘旋貌\n
baenqcienq	周旋\n
baenqfwngz	（见luzmwnz）圆形指纹\n
baenqgae	［方］lou;maenj;mae;naemj;niemj;baenqgiuj 物体急旋转\n
baenqgeuj	旋绕\n
baenqgiuj	（见baenqgae） 物体急旋转\n
baenqlaulau	［方］（大物体）旋转得很快\n
baenqletlet	［方］（较小的物体）旋转得很快\n
baenqloekloek	［方］转辘辘\n
baenqlulu	［方］团团转\n
baenqluxsae	螺旋［像螺蛳壳纹理的曲线形］\n
baenqlwklwk	［方］摇头的样子\n
baenqnyeunyeu	［方］物体连续快速转动\n
baenh	（见haxbaenh） 刚才\n
baeng	（见boiz） 还；赔偿\n（见haem） 埋；埋葬；埋藏\n［与oep同］敷（药）\n
baengz	［方］boiq;baij 布；棉布；布帛；布匹\n
baengzcezvwnz	［方］baengzciuqcez;baengzsez 斜纹布\n
baengzcingq	（书中误为bangzcingq） （见baengzgawq） 凭证；凭据；证据\n
baengzciuqcez	（见baengzcezvwnz） 斜纹布\n
baengzco	粗布\n
baengzdagaeq	（见man） 壮锦\n
baengzdizgozliengz	的确良\n
baengzdiemjmeizsah	［方］baengzvaenzsa 香云纱；点梅纱\n
baengzdoj	土布\n
baengzfaiq	棉布\n
baengzgawq	［方］baengzcingq；baengzgwq;cingjgvienq 凭证；凭据；证据\n
baengzgop	［方］raezgep 滚口布；斜剪的滚边布条［镶鞋边或衣边用］\n
baengzgwq	（见baengzgawq） 证据；凭证\n
baengzgyaeuj	［方］boiqlingz 布头\n
baengzgyauh	胶布\n
baengzliengz	［方］mbenqliengz 旧时盖新房子时，挂在正梁上的红布\n
baengzmuengx	纱布\n
baengzmbat	［方］raezgep 镶边用的斜布条\n
baengzndaij	麻布\n
baengzndongq	黑土布\n
baengznizlungz	尼龙布\n
baengznyungz	绒布\n
baengzraiz	格子布；条纹布\n
baengzriep	蚊帐布\n
baengzsa	纱布\n硼砂\n
baengzsei	［方］baijsei 丝布；丝绸\n
baengzsez	（见baengzcezvwnz） 斜纹布\n
baengzswqlinz	士林布\n
baengzva	［方］baijmyok 花布\n
baengzvaenzsa	(书中误写作baengzvaenhsa-[honghlaj]) (见baengzdiemjmeizsah) 香云纱；点梅纱\n
baengzyangzgaeux	白扣布\n
baengzyouz	［方］baijyouz 油布\n
baengzyoux	朋友；伙伴\n
baengj	（见haep） 无理地阻拦别人\n
baengx	（见laeng） 跟；向；沿［介词］\n
baengxnaj	（见baihnaj） 面前；前面\n
baengq	（用力）刺\n
baengh	［方］deq;byom;gauq;ing 依靠；依赖；靠\n扶手\n后盾\n栏杆\n
baenghmbaq	（见gotmbaq） 攀肩\n
baet	摆动［指兽类的尾巴摇摆］\n拂；轻拍\n［方］sauq 扫\n（见baiq） （植物）一起一伏的摆动\n（见faet） 牛蒡草的籽\n（见feiq） 簸 ～haeux簸米\n
baetdaeuj	水斗［船上用以舀水的工具］\n
baetduet	摆脱\n
baetmaed	（见yiemzsuk） 严肃\n
